WKT;WKT_2;ID;CO_FRAC_RA;COMUNA;FRACCION;RADIO;TOTAL_POB;T_VARON;T_MUJER;I_MASCULINIDAD;T_VIVIENDA;V_PARTICUL;V_PARTICUL_POR;V_COLECTIV;V_COLECTIV_POR;T_HOGAR;H_CON_NBI;H_CON_NBI_POR;H_SIN_NBI;H_SIN_NBI_POR
MULTIPOLYGON (((-58.457743673940612 -34.554300893557873,-58.457269733241581 -34.554041636157883,-58.457193886334409 -34.554098114225475,-58.456896373103191 -34.55429487003277,-58.456639463568663 -34.554464583638513,-58.456389533326487 -34.554629930662706,-58.456203106675154 -34.554751194041899,-58.455780611479987 -34.55501603476452,-58.455316063187141 -34.555551954862651,-58.454502110212253 -34.556493495114061,-58.455391268095312 -34.557025970135939,-58.456206748699202 -34.556081395812967,-58.456345001433476 -34.555921325371621,-58.45697513437635 -34.555191252804192,-58.457743673940612 -34.554300893557873)));;1217;13_8_5;COMUNA 13;8;5;955;439;516;85,08%;656;655;99,85%;1;0,15%;452;5;1,11%;447;98,89%
MULTIPOLYGON (((-58.457885320366358 -34.555710048165814,-58.45697513437635 -34.555191252804192,-58.456345001433476 -34.555921325371621,-58.456206748699202 -34.556081395812967,-58.457100169324839 -34.556612943117884,-58.457241571008772 -34.556449843512837,-58.457885320366358 -34.555710048165814)));;1218;13_8_6;COMUNA 13;8;6;676;317;359;88,30%;355;355;100,00%;0;0,00%;295;1;0,34%;294;99,66%
MULTIPOLYGON (((-58.458802838097299 -34.556232992051484,-58.457885320366358 -34.555710048165814,-58.457241571008772 -34.556449843512837,-58.457100169324839 -34.556612943117884,-58.458008923227013 -34.557153639774477,-58.458154069757036 -34.556986313726888,-58.458802838097299 -34.556232992051484)));;1219;13_8_7;COMUNA 13;8;7;808;354;454;77,97%;413;413;100,00%;0;0,00%;364;3;0,82%;361;99,18%
MULTIPOLYGON (((-58.459724793678824 -34.556758464432335,-58.458802838097299 -34.556232992051484,-58.458154069757036 -34.556986313726888,-58.458008923227013 -34.557153639774477,-58.458919561594534 -34.557695386063777,-58.459727467230444 -34.558175993531449,-58.459914654792058 -34.558287129728811,-58.459958921840801 -34.558236494639544,-58.460564692863464 -34.557587533709615,-58.46077819170695 -34.557358794495677,-58.459724793678824 -34.556758464432335)));;1220;13_8_8;COMUNA 13;8;8;993;428;565;75,75%;513;513;100,00%;0;0,00%;439;11;2,51%;428;97,49%
MULTIPOLYGON (((-58.460532646615221 -34.55581815695647,-58.459597416529895 -34.555310367122225,-58.458802838097299 -34.556232992051484,-58.459724793678824 -34.556758464432335,-58.460532646615221 -34.55581815695647)));;1221;13_8_9;COMUNA 13;8;9;708;309;399;77,44%;440;440;100,00%;0;0,00%;326;3;0,92%;323;99,08%
MULTIPOLYGON (((-58.457100169324839 -34.556612943117884,-58.456206748699202 -34.556081395812967,-58.455391268095312 -34.557025970135939,-58.455689784584145 -34.557204728146239,-58.456281969722298 -34.557556325945988,-58.457100169324839 -34.556612943117884)));;1222;13_9_1;COMUNA 13;9;1;673;307;366;83,88%;353;353;100,00%;0;0,00%;287;4;1,39%;283;98,61%
MULTIPOLYGON (((-58.458296315818657 -34.560157095873166,-58.457304957210418 -34.559568367669009,-58.456386903163363 -34.559023087833921,-58.455581782853876 -34.559950972617003,-58.45573747320762 -34.560043802664758,-58.456505375190723 -34.56049583615065,-58.457506869426503 -34.5610852754467,-58.458296315818657 -34.560157095873166)));;1223;13_9_10;COMUNA 13;9;10;537;219;318;68,87%;336;335;99,70%;1;0,30%;239;25;10,46%;214;89,54%
MULTIPOLYGON (((-58.458008923227013 -34.557153639774477,-58.457100169324839 -34.556612943117884,-58.456281969722298 -34.557556325945988,-58.457191069141039 -34.558096253941933,-58.458105798456472 -34.558639344490459,-58.458919561594534 -34.557695386063777,-58.458008923227013 -34.557153639774477)));;1224;13_9_2;COMUNA 13;9;2;699;304;395;76,96%;434;434;100,00%;0;0,00%;303;3;0,99%;300;99,01%
MULTIPOLYGON (((-58.459914654792058 -34.558287129728811,-58.459727467230444 -34.558175993531449,-58.458919561594534 -34.557695386063777,-58.458105798456472 -34.558639344490459,-58.458935755773275 -34.559132212023918,-58.459095874837658 -34.559226869006324,-58.459243236219628 -34.559056231777866,-58.459914654792058 -34.558287129728811)));;1225;13_9_3;COMUNA 13;9;3;506;213;293;72,70%;354;354;100,00%;0;0,00%;247;3;1,21%;244;98,79%
MULTIPOLYGON (((-58.459095874837658 -34.559226869006324,-58.458935755773275 -34.559132212023918,-58.458105798456472 -34.558639344490459,-58.457304957210418 -34.559568367669009,-58.458296315818657 -34.560157095873166,-58.458532473774802 -34.55987934521189,-58.459095874837658 -34.559226869006324)));;1226;13_9_4;COMUNA 13;9;4;572;246;326;75,46%;401;401;100,00%;0;0,00%;293;2;0,68%;291;99,32%
MULTIPOLYGON (((-58.458105798456472 -34.558639344490459,-58.457191069141039 -34.558096253941933,-58.456281969722298 -34.557556325945988,-58.455477969099114 -34.558483294792971,-58.456386903163363 -34.559023087833921,-58.457304957210418 -34.559568367669009,-58.458105798456472 -34.558639344490459)));;1227;13_9_5;COMUNA 13;9;5;1175;502;673;74,59%;620;619;99,84%;1;0,16%;488;4;0,82%;484;99,18%
MULTIPOLYGON (((-58.456281969722298 -34.557556325945988,-58.455689784584145 -34.557204728146239,-58.455391268095312 -34.557025970135939,-58.454502110212253 -34.556493495114061,-58.454011311801985 -34.557061163020684,-58.453697758977384 -34.557426016007632,-58.45458896497238 -34.557955327784981,-58.455477969099114 -34.558483294792971,-58.456281969722298 -34.557556325945988)));;1228;13_9_6;COMUNA 13;9;6;685;311;374;83,16%;430;430;100,00%;0;0,00%;320;1;0,31%;319;99,69%
MULTIPOLYGON (((-58.45458896497238 -34.557955327784981,-58.453697758977384 -34.557426016007632,-58.452902499094307 -34.558351348764788,-58.453734635684562 -34.558848477394179,-58.453789538666776 -34.558881229369007,-58.45458896497238 -34.557955327784981)));;1229;13_9_7;COMUNA 13;9;7;677;318;359;88,58%;364;363;99,73%;1;0,28%;296;2;0,68%;294;99,32%
MULTIPOLYGON (((-58.455477969099114 -34.558483294792971,-58.45458896497238 -34.557955327784981,-58.453789538666776 -34.558881229369007,-58.454525412965644 -34.559320807701575,-58.454676844870363 -34.55941110350075,-58.455332559207307 -34.558650899304524,-58.455477969099114 -34.558483294792971)));;1230;13_9_8;COMUNA 13;9;8;788;337;451;74,72%;429;429;100,00%;0;0,00%;344;1;0,29%;343;99,71%
MULTIPOLYGON (((-58.456386903163363 -34.559023087833921,-58.455477969099114 -34.558483294792971,-58.455332559207307 -34.558650899304524,-58.454676844870363 -34.55941110350075,-58.455581782853876 -34.559950972617003,-58.456386903163363 -34.559023087833921)));;1231;13_9_9;COMUNA 13;9;9;868;357;511;69,86%;431;431;100,00%;0;0,00%;363;0;0,00%;363;100,00%
MULTIPOLYGON (((-58.448386076597927 -34.5672225646436,-58.447531661753594 -34.567699665407439,-58.448133203499722 -34.568328568892397,-58.448642701000402 -34.568068194749131,-58.449044406334956 -34.567853794378578,-58.448386076597927 -34.5672225646436)));;1232;14_1_1;COMUNA 14;1;1;429;186;243;76,54%;304;304;100,00%;0;0,00%;210;0;0,00%;210;100,00%
MULTIPOLYGON (((-58.440382543306853 -34.565333604984041,-58.440325491500772 -34.565381202269464,-58.439500957812477 -34.56606945889348,-58.439471239269295 -34.566094243062444,-58.439413845791407 -34.566142191978791,-58.440601011090912 -34.56720140269023,-58.441516389202206 -34.566496604541307,-58.440382543306853 -34.565333604984041)));;1233;14_1_10;COMUNA 14;1;10;1210;531;679;78,20%;561;561;100,00%;0;0,00%;462;2;0,43%;460;99,57%
MULTIPOLYGON (((-58.447531661753594 -34.567699665407439,-58.446505414430092 -34.568272868424089,-58.447042166583536 -34.568886134131382,-58.448133203499722 -34.568328568892397,-58.447531661753594 -34.567699665407439)));;1234;14_1_2;COMUNA 14;1;2;562;244;318;76,73%;333;333;100,00%;0;0,00%;255;27;10,59%;228;89,41%
MULTIPOLYGON (((-58.447531661753594 -34.567699665407439,-58.447037462876828 -34.567182960718263,-58.446831647783803 -34.566967783883818,-58.446104685489424 -34.567814977753578,-58.446154393349403 -34.567871747539584,-58.445682001648741 -34.568165709495794,-58.445622571844531 -34.568190209305932,-58.446496898846704 -34.569160934061657,-58.446691114214261 -34.56906560343517,-58.447042166583536 -34.568886134131382,-58.446505414430092 -34.568272868424089,-58.447531661753594 -34.567699665407439)));;1235;14_1_3;COMUNA 14;1;3;862;375;487;77,00%;495;495;100,00%;0;0,00%;400;2;0,50%;398;99,50%
MULTIPOLYGON (((-58.446426194497747 -34.565874231863162,-58.446064504640773 -34.565661920261967,-58.445519973301607 -34.565340422254309,-58.444725142637211 -34.566269433140839,-58.445129772250198 -34.566729864337375,-58.445422908396928 -34.567051610395218,-58.44577094664529 -34.567433718107452,-58.446104685489424 -34.567814977753578,-58.446831647783803 -34.566967783883818,-58.447037462876828 -34.567182960718263,-58.447531661753594 -34.567699665407439,-58.448386076597927 -34.5672225646436,-58.447854500050511 -34.566712830969216,-58.447795763521057 -34.566678315258542,-58.447319743993567 -34.566398877772961,-58.446426194497747 -34.565874231863162)));;1236;14_1_4;COMUNA 14;1;4;944;424;520;81,54%;455;455;100,00%;0;0,00%;362;1;0,28%;361;99,72%
MULTIPOLYGON (((-58.446104685489424 -34.567814977753578,-58.44577094664529 -34.567433718107452,-58.445422908396928 -34.567051610395218,-58.444443778816868 -34.568200532121864,-58.445704962124658 -34.569549786901874,-58.446496898846704 -34.569160934061657,-58.445622571844531 -34.568190209305932,-58.445682001648741 -34.568165709495794,-58.446154393349403 -34.567871747539584,-58.446104685489424 -34.567814977753578)));;1237;14_1_5;COMUNA 14;1;5;1356;612;744;82,26%;774;774;100,00%;0;0,00%;585;29;4,96%;556;95,04%
MULTIPOLYGON (((-58.443713614030777 -34.568750092537812,-58.444885685987551 -34.569952081877865,-58.445704962124658 -34.569549786901874,-58.444443778816868 -34.568200532121864,-58.444282824887239 -34.568028387771577,-58.443743544087127 -34.567416729245757,-58.442980511675948 -34.567998183038107,-58.443713614030777 -34.568750092537812)));;1238;14_1_6;COMUNA 14;1;6;1000;455;545;83,49%;562;562;100,00%;0;0,00%;446;0;0,00%;446;100,00%
MULTIPOLYGON (((-58.442980511675948 -34.567998183038107,-58.442190726010907 -34.568619770102082,-58.442965132578152 -34.569310702392777,-58.444110593429428 -34.570332686986241,-58.444885685987551 -34.569952081877865,-58.443713614030777 -34.568750092537812,-58.442980511675948 -34.567998183038107)));;1239;14_1_7;COMUNA 14;1;7;849;371;478;77,62%;472;472;100,00%;0;0,00%;367;3;0,82%;364;99,18%
MULTIPOLYGON (((-58.444612402011984 -34.564804563329773,-58.443646194434237 -34.564234039056707,-58.442353161985466 -34.565840098349568,-58.441516389202206 -34.566496604541307,-58.440601011090912 -34.56720140269023,-58.442190726010907 -34.568619770102082,-58.442980511675948 -34.567998183038107,-58.443743544087127 -34.567416729245757,-58.444282824887239 -34.568028387771577,-58.444443778816868 -34.568200532121864,-58.445422908396928 -34.567051610395218,-58.445129772250198 -34.566729864337375,-58.444725142637211 -34.566269433140839,-58.445519973301607 -34.565340422254309,-58.444612402011984 -34.564804563329773)));;1240;14_1_8;COMUNA 14;1;8;952;415;537;77,28%;392;390;99,49%;2;0,51%;299;0;0,00%;299;100,00%
MULTIPOLYGON (((-58.441267856141415 -34.564609224650461,-58.441132385424275 -34.564707655839968,-58.440382543306853 -34.565333604984041,-58.441516389202206 -34.566496604541307,-58.442353161985466 -34.565840098349568,-58.441267856141415 -34.564609224650461)));;1241;14_1_9;COMUNA 14;1;9;1012;439;573;76,61%;465;465;100,00%;0;0,00%;398;0;0,00%;398;100,00%
MULTIPOLYGON (((-58.434858497864759 -34.562089157581006,-58.434957857598199 -34.561792195139205,-58.433875685818904 -34.561568483763672,-58.433270455483566 -34.5614621374461,-58.432426769755978 -34.561386082697148,-58.431809254130258 -34.561360645191435,-58.431194907416391 -34.56140770729219,-58.431083716465196 -34.561157377623168,-58.431012427681225 -34.561189447422272,-58.430952148808871 -34.561209855208958,-58.430890679123664 -34.561227586479731,-58.430828103813248 -34.561242500403665,-58.430764678242724 -34.561254667471566,-58.430700572729428 -34.561263946875421,-58.430635957483275 -34.561270479510256,-58.430571002849327 -34.561274054143027,-58.430505879064846 -34.561274741243778,-58.430440841495724 -34.561272611305419,-58.430375975304521 -34.561267593924931,-58.430311621012997 -34.561259689192958,-58.430214408623364 -34.561247690998798,-58.430126476007764 -34.561233864135872,-58.430039310708459 -34.561217149961983,-58.429952997835144 -34.561197618927281,-58.42986762246926 -34.561175411907804,-58.429783440059701 -34.561150388122989,-58.429700450558279 -34.561122688426629,-58.42961873907246 -34.561092383269852,-58.429538646150696 -34.56105940232203,-58.429460086614192 -34.561023886414432,-58.429383315825497 -34.560985906045424,-58.429308418917415 -34.560945461241538,-58.429199053975097 -34.560882822847873,-58.429126541634361 -34.560840406666969,-58.429054455235566 -34.560797427154625,-58.428982965064421 -34.560753813932955,-58.428911985936466 -34.560709707830767,-58.428841517909234 -34.560664967997589,-58.428771560954907 -34.560619664859985,-58.42870220020211 -34.560573798442505,-58.428633350523235 -34.560527368722411,-58.42856509701808 -34.560480446150038,-58.428497354616532 -34.560432889851178,-58.428430208389365 -34.560384840701879,-58.428145567071851 -34.560115382204955,-58.428003970874933 -34.559980195142245,-58.427914111992649 -34.559894391076803,-58.427747419448323 -34.55972229349392,-58.427539806832357 -34.559489969928649,-58.427354913420672 -34.559283146685246,-58.427287896049961 -34.559336509946256,-58.427073729428344 -34.55950701868273,-58.423902350039356 -34.562017009361888,-58.423789575346035 -34.562152683732428,-58.423546764797344 -34.562447862768593,-58.423373060217358 -34.56267518118247,-58.423372257326903 -34.562675611661334,-58.423459046346935 -34.562452309569906,-58.423132549386352 -34.562322127985574,-58.422118647415004 -34.562683923922798,-58.421310963314319 -34.562964228592307,-58.42114321778984 -34.563041498977547,-58.42090000860798 -34.563193887489653,-58.420710491665012 -34.563394958117883,-58.420618223394378 -34.563536834034231,-58.420296651244158 -34.564103156240442,-58.420054505217806 -34.564665350204294,-58.419886426076772 -34.564969705071633,-58.418571378217599 -34.56393204430676,-58.417957991875546 -34.563441835665451,-58.417802178326617 -34.563316281645442,-58.417394793598298 -34.562997035433597,-58.417009237036702 -34.562692847703779,-58.416802017588665 -34.562334539849424,-58.416635456980032 -34.562470245854655,-58.416419904721721 -34.562640513998382,-58.416189101212296 -34.56282299437364,-58.416044821812584 -34.562908101889256,-58.415832517747226 -34.563039786970315,-58.415630094680218 -34.563159925682143,-58.415455513861708 -34.563271130775895,-58.415311763868146 -34.563357839462981,-58.415111551966284 -34.563479245828056,-58.415038656965024 -34.563519289585095,-58.414909212614468 -34.563598186131635,-58.414730037524812 -34.563701219005559,-58.414663018148637 -34.563737884414302,-58.414490656013776 -34.563835637691533,-58.41426175013433 -34.563961045579447,-58.413939088741735 -34.564129093562151,-58.413589264731456 -34.564304383603577,-58.413525569903463 -34.564331894388182,-58.413276057856322 -34.564459686586005,-58.413077386247451 -34.564558342733896,-58.412928702590555 -34.564630468482619,-58.412739313711349 -34.564722226149307,-58.41262545678871 -34.564780703201578,-58.412466459257033 -34.564872895458436,-58.412339400799652 -34.564940662992633,-58.411564884698365 -34.56532606219433,-58.410919790704583 -34.565668481363801,-58.41076411575672 -34.565751094913189,-58.410202215353948 -34.566054459411575,-58.40934343682509 -34.566509811232372,-58.408671762103793 -34.566853051933762,-58.407859817717835 -34.567268060098904,-58.407645243044826 -34.567062461605147,-58.407535744047927 -34.566957478021251,-58.407479853530461 -34.566892590769001,-58.407440807739988 -34.566845810497703,-58.407398527259794 -34.566798465343432,-58.407349096010421 -34.566750412676008,-58.407297194756119 -34.566704119507492,-58.407243078760146 -34.566659797227516,-58.407186577800644 -34.56661737533021,-58.407128032367154 -34.566576924392876,-58.407067442317789 -34.566538655689399,-58.407006254460413 -34.566503274132941,-58.406941062675614 -34.566471904976737,-58.406887698497883 -34.566449626097487,-58.406832970650456 -34.566429670615996,-58.406777134437334 -34.566412179498577,-58.406720189948743 -34.566397011892569,-58.40666239244063 -34.566384379190438,-58.406603912176017 -34.566374281469216,-58.406537853821753 -34.566365940874157,-58.406407515806187 -34.566362852540145,-58.406240049126083 -34.566374958832895,-58.406178492185397 -34.56638246588787,-58.406117955124003 -34.566392508706549,-58.406058097448586 -34.566405016706817,-58.405999004240343 -34.566420060354758,-58.405941016126036 -34.566437498958663,-58.405884133101353 -34.566457332520038,-58.405828440296283 -34.566479561080087,-58.405774278291219 -34.566504114373636,-58.40571892192704 -34.566532258791632,-58.40561153114799 -34.566585872932301,-58.405311157112266 -34.56673982332422,-58.405081298086301 -34.566857889216678,-58.404647129158263 -34.567078679066405,-58.404500304259535 -34.567154316678177,-58.404448610482596 -34.567178659280302,-58.404395640440235 -34.567201874441238,-58.404323680729192 -34.567231630080599,-58.404269946523215 -34.567251816520489,-58.404202759159297 -34.567274602237958,-58.404144344304719 -34.567292180632158,-58.404064728612362 -34.56731291796892,-58.403993033892547 -34.567328729271239,-58.403935645380862 -34.567339476775757,-58.403846669957595 -34.567352814776193,-58.403757271017724 -34.567363053780866,-58.403667789061103 -34.567370264379143,-58.403598485619909 -34.567375301489172,-58.403151437545816 -34.567142398051836,-58.403023870514176 -34.566595762638769,-58.402753070697358 -34.566934870102656,-58.402718389751506 -34.566978305664556,-58.402677147484958 -34.56702997778585,-58.402598312646873 -34.567148535712086,-58.402481914535699 -34.567292850830746,-58.402369427553772 -34.567443646922754,-58.402330404664539 -34.567486587245476,-58.40227263703207 -34.567550223403522,-58.401799822657878 -34.568097969982929,-58.401305889543551 -34.568528163758977,-58.400485320204098 -34.569135943628147,-58.400125652295358 -34.56935079656683,-58.399987793181424 -34.569611394216118,-58.39977541232799 -34.569976672363374,-58.39966869462372 -34.570255643397388,-58.399659577773797 -34.570490648792372,-58.399721523743793 -34.570762382577293,-58.399916627016971 -34.571034184878187,-58.40028615733506 -34.571452068333663,-58.400377859943283 -34.5715557815968,-58.400533426245637 -34.571761855651403,-58.400555285489276 -34.571790882107294,-58.401757406607345 -34.573127754478612,-58.401776602322343 -34.573154964475542,-58.401827550037957 -34.573226405822965,-58.401898957179995 -34.57332658979589,-58.402039363735376 -34.57352529557977,-58.402140959851472 -34.57363194068575,-58.402515582619444 -34.574011236783143,-58.402644715081934 -34.574138719636728,-58.402647090942608 -34.574140968282322,-58.402783986729936 -34.574276397942022,-58.40344185739027 -34.573467107266353,-58.403576575612028 -34.573311743448869,-58.40364499946881 -34.573233111253245,-58.404306546884769 -34.572377618393418,-58.404806687797318 -34.571723039898934,-58.404960275893401 -34.571582195689274,-58.405127649518121 -34.571628152895684,-58.406079188968263 -34.572294101099843,-58.40608529153436 -34.572380709956811,-58.4061847458687 -34.572620273036428,-58.406351265342906 -34.572858976608373,-58.406690735768628 -34.57330987193248,-58.407329000045827 -34.574077268147668,-58.407418310639294 -34.574210694568428,-58.407606365207911 -34.574505228692672,-58.407812027601047 -34.57482716595802,-58.407995552784072 -34.575021622764531,-58.408215069389861 -34.575254265986857,-58.408324402756683 -34.575370094279016,-58.408449308900373 -34.575499380665526,-58.408543341266949 -34.575577946862779,-58.408772935770379 -34.575767281847945,-58.408852846621031 -34.57582767178387,-58.408941779232208 -34.575893629255411,-58.409004077758546 -34.575935066872866,-58.409078970610508 -34.575987425944419,-58.409152670820674 -34.576040911254452,-58.409225263578655 -34.576095452416929,-58.409296918992709 -34.576151331210184,-58.409349510126688 -34.576194877167261,-58.409389334930204 -34.576230248168343,-58.409427796789039 -34.576266674943881,-58.409464895747782 -34.576304087069687,-58.409500546706639 -34.576342414084365,-58.409534749664815 -34.576381655989188,-58.409567419521977 -34.576421742322836,-58.409598556276933 -34.576462673086468,-58.409628244983111 -34.576504589169261,-58.409667712792697 -34.576566228632565,-58.409698074634804 -34.576620892004769,-58.409724434012645 -34.576676680439796,-58.409746705730093 -34.576733664328749,-58.409768886574746 -34.576799733062323,-58.409781031722424 -34.576847909365519,-58.409955671370874 -34.577239691532853,-58.410724659417703 -34.576896837993587,-58.410939113868864 -34.576799882795108,-58.411747018325471 -34.576434784825693,-58.413158832731071 -34.575796747557447,-58.414502748997712 -34.575189302190104,-58.414688578590486 -34.575106414169632,-58.414623608385469 -34.57496927011897,-58.414676912691341 -34.5748125943269,-58.414795413371827 -34.574695171126088,-58.414986362226927 -34.574591086572283,-58.415180238930205 -34.574577781354598,-58.41551758660291 -34.574553474563949,-58.415997170979374 -34.574441048591481,-58.416259969639761 -34.574351426741877,-58.417463003460952 -34.573767276213637,-58.41794919924034 -34.573537938619275,-58.418173262296087 -34.573432241405911,-58.419204476704195 -34.572971466792694,-58.419500068399252 -34.572839383021211,-58.42002218621807 -34.572602584730582,-58.420548133269591 -34.572364024880009,-58.421741296394345 -34.571822788152268,-58.422117440590867 -34.571652202237253,-58.422515088428646 -34.571471803735633,-58.422608508041307 -34.571429434809829,-58.422614640407993 -34.571426641522777,-58.422694981207563 -34.571390198525236,-58.422998645506219 -34.571267545913877,-58.423244744054266 -34.57116818481272,-58.423409093312166 -34.571101756091707,-58.423523286058291 -34.57105566404978,-58.423602482292274 -34.571018927296691,-58.423602549974795 -34.571018966286665,-58.423606275203795 -34.571024063033491,-58.423769825313542 -34.570949563838226,-58.423760704208391 -34.570945594432352,-58.423887077287354 -34.570886758906127,-58.424103460821975 -34.570786330231464,-58.424199347247992 -34.570741851552924,-58.424374178753141 -34.570649649074717,-58.424402451522504 -34.570634727727501,-58.425889227124401 -34.569850432953885,-58.426196991309688 -34.569673827593107,-58.429719836190493 -34.567652348004756,-58.430174985963575 -34.567391191120329,-58.430678840681544 -34.567102086344384,-58.43122697579426 -34.566775876598925,-58.432245318908571 -34.566169840738382,-58.43331013966214 -34.565536200669762,-58.433798308394302 -34.565245670634418,-58.434409512868648 -34.564888333276215,-58.435489795031273 -34.564254184656328,-58.436476744192014 -34.563660923698947,-58.436667388700478 -34.563546311537024,-58.436878808497255 -34.563419238129974,-58.438045233374162 -34.562976783577213,-58.438175917625571 -34.562946456439356,-58.438922305915106 -34.562773286538437,-58.439525652154934 -34.562673398116949,-58.439927995694177 -34.562606780724138,-58.440857916200322 -34.562438703722506,-58.441344541606227 -34.56235075773052,-58.441220115310507 -34.56218177534366,-58.441164038222965 -34.562098731534668,-58.440965922212186 -34.562136326406666,-58.440816180229504 -34.562165001620606,-58.440657916398976 -34.562194682198836,-58.440510000505618 -34.562222350280138,-58.440376694927323 -34.562241964163029,-58.440228780482457 -34.562263589385026,-58.440090605077948 -34.562284209145332,-58.439947560044928 -34.56230533138492,-58.43981973285662 -34.562322931507381,-58.439666340298494 -34.562343547934361,-58.439550687256599 -34.562358632355242,-58.439402165538858 -34.56237371039839,-58.439246947879859 -34.562390297604267,-58.439088078229744 -34.56240638036325,-58.43893286059118 -34.562422463626476,-58.438786164685531 -34.56243754127545,-58.438658947468696 -34.562449097783102,-58.438525034601625 -34.562461156375669,-58.438361295685134 -34.562475726594705,-58.438221904176935 -34.562489294391909,-58.438091034579323 -34.562501353118456,-58.43795955775564 -34.562508376149687,-58.437834776383767 -34.562515400403214,-58.437695388039593 -34.562517889649541,-58.437570607994516 -34.562520381744577,-58.437425132534806 -34.562523876515627,-58.437279048843152 -34.562525860357077,-58.437125052619145 -34.562526835280011,-58.436978968760407 -34.562529322305529,-58.436820711302076 -34.562531806576281,-58.435948912522093 -34.562542176837063,-58.435410487681594 -34.562543751291685,-58.435319155949458 -34.562468371146714,-58.435319180204345 -34.562468363146429,-58.434944710717218 -34.56215974373341,-58.434858497864759 -34.562089157581006)));;1242;14_10_1;COMUNA 14;10;1;25;17;8;212,50%;21;20;95,24%;1;5,00%;6;0;0,00%;6;100,00%
